metric,mean,sd
class_mean,11.219733333333336,2.009555813080496
class_q50,8.53,1.2952424719814009
class_q90,21.524000000000004,4.2435814677544945
class_q95,28.81099999999999,6.387873476441147
class_q99,50.54039999999999,19.457672319206946
class_max,101.92,55.96458063556169
class_zero_frac,0.0077111111111111096,0.004976184147232754
class_var_mean,9.465197074995551,5.987588364162425
at_risk_share_total,0.5707942704370879,0.05403368846260936
top5_share_students,0.4532241931427236,0.06213515203442092
student_zero_frac,0.07640000000000001,0.016927750967995335
